"date","day","start_time","end_time","timezone","timezone_abbreviation","utc_offset","stage","event","source_url","listed_hosts","participants","lineup_status","lineup_notes","participant_source_urls","is_concert","concert_classification_notes"
"2026-09-18","Friday","12:00","13:00","Europe/London","BST","+01:00","MONARCH STAGE","So you want to cosplay a Vtuber?","https://vexpo.uk/stages-panels","Ekkomori, Tillysuperdog, xIvyDivinex","Ekkomori; Tillysuperdog; xIvyDivinex","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-18","Friday","13:30","14:30","Europe/London","BST","+01:00","MONARCH STAGE","Maids Of England Stage","https://vexpo.uk/stages-panels","Maids of England","Maids of England","partial","Maids of England maid/butler cafe performance; individual performers not named.","https://vexpo.uk/stages-panels","true","Included as a music performance: the description promises live J-pop classics and VTuber tributes."
"2026-09-18","Friday","15:00","16:30","Europe/London","BST","+01:00","MONARCH STAGE","hololive English 3rd concert -All For One-","https://vexpo.uk/stages-panels","hololive English","hololive English","partial","Recorded concert screening. The VeXpo listing does not identify which original concert day or individual screening cast; this is not confirmation of live or in-person appearances.","https://vexpo.uk/stages-panels","true","Included as a recorded concert screening, not a live performance."
"2026-09-18","Friday","17:30","19:00","Europe/London","BST","+01:00","MONARCH STAGE","Cosplay Showcase","https://vexpo.uk/stages-panels","a variety of cosplayers!","","partial","Attendee cosplayers; individual names not published in the session listing.","https://vexpo.uk/stages-panels","false","Excluded: mixed cosplay showcase featuring singing, dancing, skits and craftsmanship; not primarily a concert."
"2026-09-18","Friday","20:00","23:00","Europe/London","BST","+01:00","MONARCH STAGE","Opening Concert","https://vexpo.uk/stages-panels","rachie, Lilith O'Leerie, Linvy, ChromaSHIFT Akugaki Koa, Dokibird & Dooby, Skye Senfort, Glitch Stars Aerunia Kanna Yanagi, Limina Alteri, Amaya Whisper, Hiyori Mokami, Kai Kurayomi","rachie; Lilith O'Leerie; Lin (Linvy); Skye Senfort; Kai Kurayomi; Akugaki Koa; Dokibird; Dooby; Amaya Whisper; Limina Alteri; Kanna Yanagi; Hiyori Mokami","named lineup published","Named performers from the official poster. Lin is listed as Linvy in the page text. Akugaki Koa is billed with ChromaSHIFT; Amaya Whisper, Limina Alteri, Kanna Yanagi and Hiyori Mokami with Aerunia (Glitch Stars). Ticketed concert.","https://vexpo.uk/stages-panels; https://images.squarespace-cdn.com/content/v1/697e84aee021eb1c80fdbe31/3763e7ed-47ca-4c84-89c5-253b88b13400/OpeningConcert-Poster.png","true","Included: explicitly billed as a concert."
"2026-09-19","Saturday","11:30","12:30","Europe/London","BST","+01:00","MONARCH STAGE","PhaseVision","https://vexpo.uk/stages-panels","Clio Aite, Fujikura Uruka, Tenma Maemi, Dizzy Dokuro, Wilhelmina Frost, Mari Mari, Komachi Panko","Clio Aite; Fujikura Uruka; Tenma Maemi; Dizzy Dokuro; Wilhelmina Frost; Mari Mari; Komachi Panko","named lineup published","Clio Aite hosts; Fujikura Uruka, Tenma Maemi, Dizzy Dokuro, Wilhelmina Frost, Mari Mari and Komachi Panko compete.","https://vexpo.uk/stages-panels","true","Included as a music performance: a singing competition with an audience vote."
"2026-09-19","Saturday","11:40","12:40","Europe/London","BST","+01:00","PANEL ROOM 1","F*** Around and Find Out 😈","https://vexpo.uk/stages-panels","RORO ☆ Hirano Kokoro","RORO ☆ Hirano Kokoro","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-19","Saturday","11:50","12:50","Europe/London","BST","+01:00","JUBILEE STAGE","The Best in Jest","https://vexpo.uk/stages-panels","The Best in Jest","Professor Lando; Commander Connor","named lineup published","Individual names are given in the session description.","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-19","Saturday","11:50","12:50","Europe/London","BST","+01:00","PANEL ROOM 2","I came, I saw, I socially panicked. (How to Survive a Meet and Greet with Your Oshi)","https://vexpo.uk/stages-panels","MomAtCookiebox","MomAtCookiebox","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-19","Saturday","13:00","14:00","Europe/London","BST","+01:00","MONARCH STAGE","???","https://vexpo.uk/stages-panels","???","","unannounced","Session and participants not announced.","https://vexpo.uk/stages-panels","false","Unknown: no session content announced; excluded from the concerts filter pending details."
"2026-09-19","Saturday","13:10","14:10","Europe/London","BST","+01:00","PANEL ROOM 1","6 Years of Partner, 7 Years of Streaming","https://vexpo.uk/stages-panels","Heavenlyfather","Heavenlyfather","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-19","Saturday","13:20","14:20","Europe/London","BST","+01:00","PANEL ROOM 2","Swedish History for Dummies","https://vexpo.uk/stages-panels","Alfhilde","Alfhilde","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-19","Saturday","13:30","14:30","Europe/London","BST","+01:00","JUBILEE STAGE","THE GREAT BRITISH SNACK OFF","https://vexpo.uk/stages-panels","Tori Oriane, PiaPiUFO, BeriBug, Kairyu Crocodile","Tori Oriane; PiaPiUFO; BeriBug; Kairyu Crocodile","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-19","Saturday","14:30","15:30","Europe/London","BST","+01:00","MONARCH STAGE","hololive English -Justice- Panel","https://vexpo.uk/stages-panels","Elizabeth Rose Bloodflame, Cecilia Immergreen, Raora Panthera","Elizabeth Rose Bloodflame; Cecilia Immergreen; Raora Panthera","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-19","Saturday","14:50","15:50","Europe/London","BST","+01:00","PANEL ROOM 1","Live2D for Beginners: Easy Emote Animation","https://vexpo.uk/stages-panels","YoshinoArt","YoshinoArt","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-19","Saturday","14:50","15:50","Europe/London","BST","+01:00","PANEL ROOM 2","Things I wish I knew before I started Vtubing","https://vexpo.uk/stages-panels","Callie Calico, VividlyVivi, Meat, Snuffy, Coqui","Callie Calico; VividlyVivi; Meat; Snuffy; Coqui","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-19","Saturday","15:00","16:00","Europe/London","BST","+01:00","JUBILEE STAGE","Metamorphosis Lost - How Féileacán Cú Weaves a Novel Out of Streaming","https://vexpo.uk/stages-panels","Féileacán Cú","Féileacán Cú","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-19","Saturday","16:00","17:00","Europe/London","BST","+01:00","MONARCH STAGE","???","https://vexpo.uk/stages-panels","???","","unannounced","Session and participants not announced.","https://vexpo.uk/stages-panels","false","Unknown: no session content announced; excluded from the concerts filter pending details."
"2026-09-19","Saturday","16:10","17:10","Europe/London","BST","+01:00","PANEL ROOM 1","An Introduction to the VTubing Industry","https://vexpo.uk/stages-panels","Fumiko Hoshi","Fumiko Hoshi","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-19","Saturday","16:20","17:20","Europe/London","BST","+01:00","PANEL ROOM 2","Management for VTubers: Advice From Someone Who Is Both","https://vexpo.uk/stages-panels","SynicalBeanical","SynicalBeanical","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-19","Saturday","16:30","17:30","Europe/London","BST","+01:00","JUBILEE STAGE","???","https://vexpo.uk/stages-panels","???","","unannounced","Session and participants not announced.","https://vexpo.uk/stages-panels","false","Unknown: no session content announced; excluded from the concerts filter pending details."
"2026-09-19","Saturday","18:00","20:00","Europe/London","BST","+01:00","MONARCH STAGE","???","https://vexpo.uk/stages-panels","???","","unannounced","Session and participants not announced.","https://vexpo.uk/stages-panels","false","Unknown: no session content announced; excluded from the concerts filter pending details."
"2026-09-19","Saturday","19:00","20:00","Europe/London","BST","+01:00","JUBILEE STAGE","VTuber History Gameshow!","https://vexpo.uk/stages-panels","Necronival, KitsenVT, TaigaxHolic","Necronival; KitsenVT; TaigaxHolic","named lineup published","Necronival (Croni) hosts; KitsenVT and TaigaxHolic are contestants.","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-19","Saturday","19:00","20:00","Europe/London","BST","+01:00","PANEL ROOM 1","Getting started as an 18+ Vtuber (Without getting banned!)","https://vexpo.uk/stages-panels","Podgekinn","Podgekinn","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-19","Saturday","19:00","20:00","Europe/London","BST","+01:00","PANEL ROOM 2","A Lil Buzz’d NSFW with Sif Avellana (18+)","https://vexpo.uk/stages-panels","Kira P. Raptorgirl, Sif Avellana","Kira P. Raptorgirl; Sif Avellana","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-19","Saturday","21:00","23:30","Europe/London","BST","+01:00","MONARCH STAGE","The VX Factor","https://vexpo.uk/stages-panels","Matara Kan, 0shiriko, V4Mirai, Densetsu.EXE, Hakos Baelz","Victoria Roman; Mint Fantôme; Phoebe Chan; 0shiriko; Hakos Baelz; Matara Kan; Dr. NOVA(e); Mono Monet; Paige Turner; Ao WuWu; Yae Yugiri; Rem Kanashibari; Rara Rocora; Terra 404; Lyko Lianna","named lineup published","Individual performers transcribed from the official poster, expanding the page's V4Mirai and Densetsu.EXE group billing. Ticketed concert.","https://vexpo.uk/stages-panels; https://images.squarespace-cdn.com/content/v1/697e84aee021eb1c80fdbe31/a1d46029-47b4-425f-935d-924684bb13ca/VX-FACTOR-POSTER-V5.png","true","Included: explicitly billed as a concert."
"2026-09-20","Sunday","10:00","11:00","Europe/London","BST","+01:00","MONARCH STAGE","???","https://vexpo.uk/stages-panels","???","","unannounced","Session and participants not announced.","https://vexpo.uk/stages-panels","false","Unknown: no session content announced; excluded from the concerts filter pending details."
"2026-09-20","Sunday","10:40","11:40","Europe/London","BST","+01:00","PANEL ROOM 1","""The International Rizzlers"" - florAtelier's Dating Show!","https://vexpo.uk/stages-panels","Captain Camille, Anoko, mipyun, Silvi, and Mabel","Captain Camille; Anoko; mipyun; Silvi; Mabel","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-20","Sunday","10:50","11:50","Europe/London","BST","+01:00","PANEL ROOM 2","Circus Acts 101: Balloon Animal Workshop (with the Worst Clown)","https://vexpo.uk/stages-panels","Rokoko Prufei","Rokoko Prufei","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-20","Sunday","11:00","12:00","Europe/London","BST","+01:00","JUBILEE STAGE","???","https://vexpo.uk/stages-panels","???","","unannounced","Session and participants not announced.","https://vexpo.uk/stages-panels","false","Unknown: no session content announced; excluded from the concerts filter pending details."
"2026-09-20","Sunday","11:30","12:30","Europe/London","BST","+01:00","MONARCH STAGE","Sing-A-Long Concert with Bonnie & Friends","https://vexpo.uk/stages-panels","Bonnie Barkswell & Friends","Bonnie Barkswell","partial","Additional friends are pictured but not individually named in the official page or poster; full roster not verified.","https://vexpo.uk/stages-panels; https://images.squarespace-cdn.com/content/v1/697e84aee021eb1c80fdbe31/3010ee99-4a10-40d6-89d4-b9f5c13253fe/Bonnie-Singalong.png","true","Included: explicitly billed as a concert."
"2026-09-20","Sunday","12:10","13:10","Europe/London","BST","+01:00","PANEL ROOM 1","Draw your oshi with me!","https://vexpo.uk/stages-panels","Moyasi","Moyasi","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-20","Sunday","12:20","13:20","Europe/London","BST","+01:00","PANEL ROOM 2","Scrandle LIVE! With Kani Kanizawa and Essie","https://vexpo.uk/stages-panels","Kani Kanizawa, Essie","Kani Kanizawa; Essie","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-20","Sunday","12:30","13:30","Europe/London","BST","+01:00","JUBILEE STAGE","???","https://vexpo.uk/stages-panels","???","","unannounced","Session and participants not announced.","https://vexpo.uk/stages-panels","false","Unknown: no session content announced; excluded from the concerts filter pending details."
"2026-09-20","Sunday","13:00","14:00","Europe/London","BST","+01:00","MONARCH STAGE","hololive Meet Karaoke Relay","https://vexpo.uk/stages-panels","Elizabeth Rose Bloodflame, Ayunda Risu","Elizabeth Rose Bloodflame; Ayunda Risu","named lineup published","","https://vexpo.uk/stages-panels","true","Included as a music performance: Elizabeth Rose Bloodflame and Ayunda Risu perform karaoke."
"2026-09-20","Sunday","13:40","14:40","Europe/London","BST","+01:00","PANEL ROOM 1","Po(n)lish 101","https://vexpo.uk/stages-panels","Alicja da Lontano and Dianko","Alicja da Lontano; Dianko","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-20","Sunday","14:00","15:00","Europe/London","BST","+01:00","JUBILEE STAGE","???","https://vexpo.uk/stages-panels","???","","unannounced","Session and participants not announced.","https://vexpo.uk/stages-panels","false","Unknown: no session content announced; excluded from the concerts filter pending details."
"2026-09-20","Sunday","14:30","15:30","Europe/London","BST","+01:00","MONARCH STAGE","WHO SAID THAT?! - GLITCH STARS EDITION","https://vexpo.uk/stages-panels","Amaya Whisper, Hiyori Mokami, Stimpak, Mochi, Arisa Noonish, Maple","Amaya Whisper; Hiyori Mokami; Stimpak; Mochi; Arisa Noonish; Maple","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-20","Sunday","14:50","15:50","Europe/London","BST","+01:00","PANEL ROOM 2","A puppyful interview with Wota Productions","https://vexpo.uk/stages-panels","Fio Furuyuki, Nowi Kaijumari, Patchumi","Fio Furuyuki; Nowi Kaijumari; Patchumi; Poka","named lineup published","Poka is named as an interviewer in the description, alongside Patchumi; Fio Furuyuki and Nowi Kaijumari are the listed Wota guests.","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
"2026-09-20","Sunday","15:10","16:30","Europe/London","BST","+01:00","PANEL ROOM 1","???","https://vexpo.uk/stages-panels","???","","unannounced","Session and participants not announced.","https://vexpo.uk/stages-panels","false","Unknown: no session content announced; excluded from the concerts filter pending details."
"2026-09-20","Sunday","15:30","16:30","Europe/London","BST","+01:00","JUBILEE STAGE","???","https://vexpo.uk/stages-panels","???","","unannounced","Session and participants not announced.","https://vexpo.uk/stages-panels","false","Unknown: no session content announced; excluded from the concerts filter pending details."
"2026-09-20","Sunday","16:20","17:20","Europe/London","BST","+01:00","PANEL ROOM 2","Beyond Superchats: There are OTHER ways to support your Oshi?!","https://vexpo.uk/stages-panels","Penny Puffball, Meimi Majokko","Penny Puffball; Meimi Majokko","named lineup published","","https://vexpo.uk/stages-panels","false","Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described."
