date,day,start_time,end_time,timezone,timezone_abbreviation,utc_offset,stage,event,source_url,listed_hosts,participants,lineup_status,lineup_notes,participant_source_urls,is_concert,concert_classification_notes,is_meet_greet,event_status,meet_greet_type,price,booth,event_type,organizer
2026-09-18,Friday,12:00,13:00,Europe/London,BST,+01:00,MONARCH STAGE,So you want to cosplay a Vtuber?,https://vexpo.uk/stages-panels,"Ekkomori, Tillysuperdog, xIvyDivinex",Ekkomori; Tillysuperdog; xIvyDivinex,named lineup published,,https://vexpo.uk/stages-panels,false,"Excluded: listed as a panel, workshop, interview or non-musical entertainment; no concert described.",false,official,,,,,
2026-09-18,Friday,13:30,14:30,Europe/London,BST,+01:00,MONARCH STAGE,Maids Of England Stage,https://vexpo.uk/stages-panels,Maids of England,Maids of England,partial,Maids of England maid/butler cafe performance; individual performers not named.,https://vexpo.uk/stages-panels,true,Included as a music performance: the description promises live J-pop classics and VTuber tributes.,false,official,,,,,
2026-09-18,Friday,15:00,16:30,Europe/London,BST,+01:00,MONARCH STAGE,hololive English 3rd concert -All For One-,https://vexpo.uk/stages-panels,hololive English,hololive English,partial,Recorded concert screening. The VeXpo listing does not identify which original concert day or individual screening cast; this is not confirmation of live or in-person appearances.,https://vexpo.uk/stages-panels,true,"Included as a recorded concert screening, not a live performance.",false,official,,,,,
2026-09-18,Friday,17:30,19:00,Europe/London,BST,+01:00,MONARCH STAGE,Cosplay Showcase,https://vexpo.uk/stages-panels,a variety of cosplayers!,,partial,Attendee cosplayers; individual names not published in the session listing.,https://vexpo.uk/stages-panels,false,"Excluded: mixed cosplay showcase featuring singing, dancing, skits and craftsmanship; not primarily a concert.",false,official,,,,,
2026-09-18,Friday,20:00,23:00,Europe/London,BST,+01:00,MONARCH STAGE,Opening Concert,https://vexpo.uk/stages-panels,"rachie, Lilith O'Leerie, Linvy, ChromaSHIFT Akugaki Koa, Dokibird & Dooby, Skye Senfort, Glitch Stars Aerunia Kanna Yanagi, Limina Alteri, Amaya Whisper, Hiyori Mokami, Kai Kurayomi",rachie; Lilith O'Leerie; Lin (Linvy); Skye Senfort; Kai Kurayomi; Akugaki Koa; Dokibird; Dooby; Amaya Whisper; Limina Alteri; Kanna Yanagi; Hiyori Mokami,named lineup published,"Named performers from the official poster. Lin is listed as Linvy in the page text. Akugaki Koa is billed with ChromaSHIFT; Amaya Whisper, Limina Alteri, Kanna Yanagi and Hiyori Mokami with Aerunia (Glitch Stars). Ticketed concert.",https://vexpo.uk/stages-panels; https://images.squarespace-cdn.com/content/v1/697e84aee021eb1c80fdbe31/3763e7ed-47ca-4c84-89c5-253b88b13400/OpeningConcert-Poster.png,true,Included: explicitly billed as a concert.,false,official,,,,,
2026-09-19,Saturday,11:00,12:00,Europe/London,BST,+01:00,M&G Booth 5,Kumisa Umare — Meet & Greet,https://vexpo.uk/meet-greets,Kumisa Umare,Kumisa Umare,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Penplotter,£10,5,,
2026-09-19,Saturday,11:00,12:00,Europe/London,BST,+01:00,M&G Booth 6,Nina Saotome — Meet & Greet,https://vexpo.uk/meet-greets,Nina Saotome,Nina Saotome,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Penplotter,Free,6,,
2026-09-19,Saturday,11:00,12:00,Europe/London,BST,+01:00,M&G Booth 7,Saura — Meet & Greet,https://vexpo.uk/meet-greets,Saura,Saura,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,IRL,Free,7,,
2026-09-19,Saturday,11:00,12:00,Europe/London,BST,+01:00,M&G Booth ANYC M&G1,Luca Kaneshiro — Meet & Greet,https://vexpo.uk/meet-greets,Luca Kaneshiro,Luca Kaneshiro,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£60,ANYC M&G1,,
2026-09-19,Saturday,11:30,12:30,Europe/London,BST,+01:00,M&G Booth 1,InVain — Meet & Greet,https://vexpo.uk/meet-greets,InVain,InVain,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£35,1,,
2026-09-19,Saturday,11:30,12:30,Europe/London,BST,+01:00,M&G Booth 2,Vampeaches — Meet & Greet,https://vexpo.uk/meet-greets,Vampeaches,Vampeaches,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£5,2,,
2026-09-19,Saturday,11:30,12:30,Europe/London,BST,+01:00,M&G Booth 3,Cecilia Lent — Meet & Greet,https://vexpo.uk/meet-greets,Cecilia Lent,Cecilia Lent,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£10,3,,
2026-09-19,Saturday,11:30,12:30,Europe/London,BST,+01:00,M&G Booth 4,Tori Oriane — Meet & Greet,https://vexpo.uk/meet-greets,Tori Oriane,Tori Oriane,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£15,4,,
2026-09-19,Saturday,11:30,12:30,Europe/London,BST,+01:00,M&G Booth ANYC M&G2,Sonny Brisko — Meet & Greet,https://vexpo.uk/meet-greets,Sonny Brisko,Sonny Brisko,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£60,ANYC M&G2,,
2026-09-19,Saturday,11:30,12:45,Europe/London,BST,+01:00,M&G Booth holo M&G1,Hakos Baelz — Meet & Greet,https://vexpo.uk/meet-greets,Hakos Baelz,Hakos Baelz,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£56,holo M&G1,,
2026-09-19,Saturday,11:30,12:45,Europe/London,BST,+01:00,M&G Booth holo M&G2,Cecilia Immergreen — Meet & Greet,https://vexpo.uk/meet-greets,Cecilia Immergreen,Cecilia Immergreen,named lineup published,"Published availability window, not the duration of an individual appointment. Check the official listing and booking requirements.",https://vexpo.uk/meet-greets,false,Excluded: meet-and-greet appointment window.,true,official,Virtual,£56,holo M&G2,,
